Top Features by Gini Impurity Reduction:
Index	Score
-----	-----
487	-0.053598
446	-0.053598
186	-0.053598
18	-0.053597
193	-0.053597
493	-0.053596
475	-0.053596
583	-0.053595
46	-0.053595
265	-0.053595
753	-0.053592
640	-0.053590
381	-0.053590
115	-0.053589
508	-0.053587
57	-0.053586
111	-0.053586
529	-0.053581
518	-0.053580
760	-0.053577
744	-0.053576
44	-0.053574
437	-0.053573
246	-0.053572
445	-0.053567
679	-0.053566
223	-0.053565
624	-0.053564
354	-0.053562
535	-0.053561
513	-0.053560
50	-0.053559
239	-0.053555
423	-0.053555
548	-0.053554
184	-0.053553
741	-0.053552
344	-0.053551
165	-0.053550
202	-0.053549
634	-0.053546
124	-0.053546
408	-0.053544
260	-0.053543
347	-0.053543
321	-0.053541
132	-0.053540
138	-0.053535
147	-0.053535
622	-0.053534
704	-0.053534
340	-0.053533
735	-0.053531
501	-0.053531
75	-0.053530
96	-0.053530
514	-0.053530
671	-0.053530
616	-0.053527
21	-0.053524
545	-0.053523
497	-0.053523
540	-0.053522
353	-0.053522
613	-0.053520
136	-0.053517
466	-0.053516
113	-0.053516
129	-0.053515
109	-0.053514
460	-0.053513
523	-0.053512
2	-0.053508
314	-0.053506
596	-0.053504
676	-0.053504
394	-0.053504
399	-0.053501
285	-0.053501
259	-0.053499
262	-0.053497
311	-0.053497
368	-0.053497
352	-0.053495
204	-0.053494
226	-0.053494
571	-0.053491
85	-0.053491
509	-0.053491
108	-0.053488
700	-0.053488
16	-0.053488
367	-0.053488
292	-0.053486
145	-0.053485
637	-0.053485
691	-0.053484
620	-0.053484
178	-0.053483
655	-0.053483
660	-0.053482
231	-0.053480
53	-0.053480
609	-0.053479
631	-0.053479
86	-0.053478
429	-0.053476
159	-0.053475
291	-0.053474
705	-0.053473
468	-0.053473
718	-0.053471
49	-0.053470
727	-0.053470
190	-0.053469
428	-0.053468
146	-0.053467
64	-0.053466
723	-0.053465
274	-0.053462
759	-0.053460
33	-0.053459
20	-0.053458
544	-0.053458
42	-0.053457
438	-0.053456
81	-0.053453
658	-0.053447
99	-0.053447
455	-0.053446
177	-0.053445
725	-0.053442
267	-0.053440
435	-0.053439
248	-0.053439
639	-0.053435
9	-0.053435
128	-0.053434
457	-0.053433
390	-0.053431
258	-0.053429
421	-0.053428
488	-0.053427
392	-0.053427
137	-0.053426
73	-0.053426
458	-0.053425
171	-0.053422
200	-0.053421
103	-0.053421
282	-0.053420
462	-0.053419
106	-0.053418
664	-0.053409
234	-0.053407
14	-0.053406
196	-0.053405
628	-0.053404
187	-0.053399
327	-0.053397
401	-0.053396
568	-0.053395
104	-0.053395
427	-0.053395
730	-0.053393
726	-0.053391
728	-0.053390
632	-0.053390
249	-0.053389
761	-0.053387
657	-0.053385
698	-0.053383
755	-0.053382
672	-0.053378
52	-0.053377
492	-0.053375
765	-0.053373
154	-0.053373
241	-0.053371
337	-0.053371
217	-0.053370
370	-0.053369
275	-0.053368
742	-0.053367
32	-0.053367
376	-0.053365
95	-0.053364
24	-0.053364
754	-0.053363
550	-0.053360
331	-0.053360
318	-0.053359
745	-0.053359
361	-0.053357
17	-0.053357
79	-0.053356
724	-0.053352
680	-0.053351
273	-0.053351
386	-0.053350
456	-0.053350
166	-0.053349
51	-0.053349
151	-0.053348
43	-0.053347
276	-0.053345
689	-0.053342
738	-0.053342
582	-0.053341
60	-0.053340
757	-0.053340
194	-0.053339
667	-0.053338
398	-0.053337
377	-0.053337
94	-0.053333
465	-0.053331
98	-0.053327
135	-0.053326
587	-0.053326
600	-0.053324
197	-0.053323
236	-0.053321
374	-0.053317
336	-0.053316
673	-0.053314
629	-0.053312
71	-0.053310
67	-0.053310
313	-0.053309
247	-0.053306
181	-0.053303
692	-0.053298
699	-0.053298
206	-0.053294
556	-0.053292
682	-0.053292
418	-0.053291
379	-0.053291
320	-0.053287
70	-0.053287
533	-0.053286
430	-0.053285
